"HERIDO","MUERTO","SOLO_DAÑOS","kmm.cluster"
99,0,128,"Accidentalidad alta"
177,0,105,"Accidentalidad alta"
300,4,223,"Accidentalidad media-alta"
272,1,185,"Accidentalidad alta"
209,3,102,"Accidentalidad alta"
550,8,682,"Accidentalidad media-alta"
41,0,10,"Accidentalidad alta"
557,2,175,"Accidentalidad media-alta"
383,7,371,"Accidentalidad media-alta"
389,1,169,"Accidentalidad media-alta"
236,5,133,"Accidentalidad media-alta"
220,1,135,"Accidentalidad alta"
549,2,413,"Accidentalidad media-alta"
96,2,195,"Accidentalidad alta"
132,0,487,"Accidentalidad alta"
132,1,63,"Accidentalidad alta"
942,5,563,"Accidentalidad media-alta"
1330,18,1705,"Accidentalidad media"
301,4,112,"Accidentalidad media-alta"
126,0,240,"Accidentalidad alta"
480,3,462,"Accidentalidad media-alta"
492,4,939,"Accidentalidad media-alta"
0,3,0,"Accidentalidad alta"
613,11,290,"Accidentalidad media-alta"
417,2,150,"Accidentalidad media-alta"
521,4,191,"Accidentalidad media-alta"
44,1,12,"Accidentalidad alta"
1,0,1,"Accidentalidad alta"
24,0,10,"Accidentalidad alta"
29,0,5,"Accidentalidad alta"
336,2,179,"Accidentalidad media-alta"
526,3,351,"Accidentalidad media-alta"
38,0,34,"Accidentalidad alta"
58,0,17,"Accidentalidad alta"
686,19,395,"Accidentalidad baja"
177,0,95,"Accidentalidad alta"
212,1,51,"Accidentalidad alta"
948,11,1261,"Accidentalidad baja"
73,1,68,"Accidentalidad alta"
209,2,128,"Accidentalidad alta"
65,1,18,"Accidentalidad alta"
28,2,10,"Accidentalidad alta"
107,1,29,"Accidentalidad alta"
185,5,122,"Accidentalidad alta"
55,2,11,"Accidentalidad alta"
53,1,26,"Accidentalidad alta"
49,0,21,"Accidentalidad alta"
202,1,125,"Accidentalidad alta"
160,2,87,"Accidentalidad alta"
335,8,216,"Accidentalidad media-alta"
184,1,148,"Accidentalidad alta"
296,3,457,"Accidentalidad media-alta"
575,4,137,"Accidentalidad media-alta"
27,0,6,"Accidentalidad alta"
79,0,17,"Accidentalidad alta"
1547,12,1767,"Accidentalidad media"
50,0,4,"Accidentalidad alta"
491,1,134,"Accidentalidad media-alta"
0,0,1,"Accidentalidad alta"
65,1,12,"Accidentalidad alta"
1,0,0,"Accidentalidad alta"
172,1,73,"Accidentalidad alta"
70,1,40,"Accidentalidad alta"
271,1,110,"Accidentalidad alta"
3,0,1,"Accidentalidad alta"
935,6,738,"Accidentalidad baja"
584,4,254,"Accidentalidad media-alta"
637,5,550,"Accidentalidad media-alta"
17,0,5,"Accidentalidad alta"
1231,27,1601,"Accidentalidad media"
488,3,329,"Accidentalidad media-alta"
976,6,1335,"Accidentalidad baja"
263,3,210,"Accidentalidad media-alta"
582,5,213,"Accidentalidad media-alta"
0,1,0,"Accidentalidad alta"
425,4,174,"Accidentalidad media-alta"
162,1,80,"Accidentalidad alta"
265,4,266,"Accidentalidad media-alta"
1,0,0,"Accidentalidad alta"
23,1,7,"Accidentalidad alta"
16,0,1,"Accidentalidad alta"
34,1,99,"Accidentalidad alta"
353,1,129,"Accidentalidad alta"
471,4,197,"Accidentalidad media-alta"
237,0,67,"Accidentalidad alta"
414,7,354,"Accidentalidad media-alta"
183,7,55,"Accidentalidad media-alta"
1476,13,1172,"Accidentalidad baja"
313,2,119,"Accidentalidad alta"
140,0,68,"Accidentalidad alta"
98,0,34,"Accidentalidad alta"
182,3,393,"Accidentalidad media-alta"
123,2,97,"Accidentalidad alta"
220,2,114,"Accidentalidad alta"
14,1,5,"Accidentalidad alta"
122,0,101,"Accidentalidad alta"
344,6,81,"Accidentalidad media-alta"
314,2,95,"Accidentalidad alta"
118,2,28,"Accidentalidad alta"
541,8,477,"Accidentalidad media-alta"
183,2,150,"Accidentalidad alta"
56,1,18,"Accidentalidad alta"
2,0,8,"Accidentalidad alta"
262,0,48,"Accidentalidad alta"
111,2,63,"Accidentalidad alta"
13,0,6,"Accidentalidad alta"
3,0,6,"Accidentalidad alta"
20,0,1,"Accidentalidad alta"
1,0,0,"Accidentalidad alta"
47,0,11,"Accidentalidad alta"
368,2,189,"Accidentalidad media-alta"
552,7,788,"Accidentalidad media-alta"
