BARRIO,HERIDO,MUERTO,SOLO_DAÑOS,kmm.cluster
María Cano Carambolas,44,1,12,3
Media Luna,1,0,1,3
Metropolitano,24,0,10,3
Mirador del Doce,29,0,5,3
Miraflores,336,2,179,2
Miranda,526,3,351,2
Miravalle,38,0,34,3
Monteclaro,58,0,17,3
Moravia,686,19,395,1
Moscú No.1,177,0,95,3
Moscú No.2,212,1,51,3
Naranjal,948,11,1261,1
Nueva Villa de Aburrá,73,1,68,3
Nueva Villa de La Iguaná,209,2,128,3
Nuevos Conquistadores,65,1,18,3
Ocho de Marzo,28,2,10,3
Olaya Herrera,107,1,29,3
Oleoducto,185,5,122,2
Oriente,55,2,11,3
Pablo VI,53,1,26,3
Pajarito,49,0,21,3
Palenque,202,1,125,3
Palermo,160,2,87,3
Parque Juan Pablo II,335,8,216,2
Parque Norte,184,1,148,3
Patio Bonito,296,3,457,2
Pedregal,575,4,137,2
Pedregal Alto,27,0,6,3
Pedregal Bajo,79,0,17,3
Perpetuo Socorro,1547,12,1767,4
Picachito,50,0,4,3
Picacho,491,1,134,2
Piedra Gorda,0,0,1,3
Piedras Blancas,65,1,12,3
Piedras Blancas - Matasano,1,0,0,3
Playón de Los Comuneros,172,1,73,3
Plaza de Ferias,70,1,40,3
Popular,271,1,110,3
Potrerito,3,0,1,3
Prado,935,6,738,1
Robledo,584,4,254,2
Rosales,637,5,550,2
San Antonio,17,0,5,3
San Benito,1231,27,1601,4
San Bernardo,488,3,329,2
San Diego,976,6,1335,1
San Germán,263,3,210,2
San Isidro,582,5,213,2
San Javier,0,1,0,3
San Javier No.1,425,4,174,2
San Javier No.2,162,1,80,3
San Joaquín,265,4,266,2
San José de la Montaña,1,0,0,3
San José la Cima No.1,23,1,7,3
San José la Cima No.2,16,0,1,3
San Lucas,34,1,99,3
San Martín de Porres,353,1,129,2
San Miguel,471,4,197,2
San Pablo,237,0,67,3
San Pedro,414,7,354,2
Santa Cruz,183,7,55,2
Santa Fé,1476,13,1172,4
Santa Inés,313,2,119,2
Santa Lucía,140,0,68,3
Santa Margarita,98,0,34,3
Santa María de los Ángeles,182,3,393,2
Santa María de Los Ángeles,123,2,97,3
Santa Mónica,220,2,114,3
Santa Rosa de Lima,14,1,5,3
Santa Teresita,122,0,101,3
Santander,344,6,81,2
Santo Domingo Savio No.1,314,2,95,2
Santo Domingo Savio No.2,118,2,28,3
Sevilla,541,8,477,2
Simón Bolívar,183,2,150,3
Suburbano Altavista,56,1,18,3
Suburbano El Llano,2,0,8,3
Suburbano El Plan,262,0,48,3
Suburbano La Loma,111,2,63,3
Suburbano Palma Patio,13,0,6,3
Suburbano Palmitas,3,0,6,3
Suburbano Pedregal alto,20,0,1,3
Suburbano Potrerito,1,0,0,3
Suburbano Travesias,47,0,11,3
Sucre,368,2,189,2
Suramericana,552,7,788,1
Tejelo,427,5,134,2
Tenche,409,3,412,2
Terminal de Transporte,1097,16,1290,4
Toscana,344,8,230,2
Travesías,0,0,1,3
Trece de Noviembre,17,0,27,3
Tricentenario,418,4,344,2
Trinidad,530,6,352,2
U.D. Atanasio Girardot,167,0,149,3
U.P.B.,35,0,65,3
Universidad de Antioquia,368,4,316,2
Universidad Nacional,803,9,763,1
Veinte de Julio,231,7,61,2
Versalles No.1,297,2,134,2
Versalles No.2,26,0,20,3
Villa Carlota,715,9,1015,1
Villa del Socorro,231,3,110,3
Villa Flora,406,0,238,2
Villa Guadalupe,207,3,72,3
Villa Hermosa,325,1,116,3
Villa Lilliam,75,0,17,3
Villa Niza,92,2,42,3
Villa Nueva,1125,18,1217,4
Villa Turbay,30,0,5,3
Villatina,275,2,94,3
Yolombo,4,0,0,3
